Number,State,Lata,Rate Center,Category,MOU,CNAM Storage,SMS,PeerlessMSG,CNAM Delivery,PO PIN,E911,E911 Type,Branded Calling,Destination,Custom Name,EU Type,EU Name,EU HouseNumber,EU St Name,EU City,EU State,EU ZipCode,EU Unit,EU PrefixDirectional
8283827139,NC,422,FORESTCITY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3203362713,MN,628,HINCKLEY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8283827073,NC,422,FORESTCITY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3203362642,MN,628,HINCKLEY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8283827063,NC,422,FORESTCITY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8108272651,MI,340,EMMETT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8283827059,NC,422,FORESTCITY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9183282153,OK,538,RALSTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8283827072,NC,422,FORESTCITY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8108272734,MI,340,EMMETT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8108272752,MI,340,EMMETT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3203362594,MN,628,HINCKLEY,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8108272708,MI,340,EMMETT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5732732257,MO,520,ADVANCE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
7023599214,NV,721,LAS VEGAS,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
7023599218,NV,721,LAS VEGAS,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
