Number,State,Lata,Rate Center,Category,MOU,CNAM Storage,SMS,PeerlessMSG,CNAM Delivery,PO PIN,E911,E911 Type,Branded Calling,Destination,Custom Name,EU Type,EU Name,EU HouseNumber,EU St Name,EU City,EU State,EU ZipCode,EU Unit,EU PrefixDirectional
6592171728,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949091,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424745,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810530,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949077,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424797,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949084,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424733,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199213,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957197,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424802,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957617,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810601,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199204,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810596,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949069,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171730,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108102,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171729,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199040,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810533,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199189,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949083,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108083,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424751,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424756,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424734,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171745,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108107,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424748,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949113,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949085,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949086,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957281,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424788,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424741,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424735,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199207,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171718,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108018,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424755,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171721,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949107,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171747,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171739,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424803,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3024698881,DE,228,FELTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171738,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108124,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949097,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957167,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108069,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949073,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171733,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
3024698878,DE,228,FELTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199198,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171743,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424789,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949049,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199192,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171744,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108086,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949123,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424740,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424793,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810531,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199050,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108198,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957805,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199156,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199048,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424737,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810605,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424798,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9862810697,ID,960,COERDALENE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199046,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424796,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424801,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424743,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199212,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957791,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424762,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199209,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957417,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199184,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949061,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171717,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424783,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171722,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171736,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199206,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171716,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424794,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424776,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949063,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
5638957075,IA,634,DAVENPORT,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949047,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949115,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949125,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199049,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424746,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9284949100,AZ,666,SEDONA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424786,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424736,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424750,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424764,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424760,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424731,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171735,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199181,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
8702108255,AR,528,ARKADLPHIA,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199180,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
6592171741,AL,476,W BLOCTON,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9705199042,CO,656,TELLURIDE,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
9127424752,GA,440,POOLER,Standard,1,,NO,NO,NO,,NO,NONE,NO,INSTACALL_01,INSTACALL_01,,,,,,,,,
